[09:10:27] [main/INFO]: Loading Minecraft 1.19.2 with Fabric Loader 0.14.10
[09:10:27] [main/INFO]: Loading 39 mods:
	- fabric-api 0.64.0+1.19.2
	- fabric-api-base 0.4.12+93d8cb8290 via fabric-api
	- fabric-api-lookup-api-v1 1.6.10+93d8cb8290 via fabric-api
	- fabric-biome-api-v1 9.0.18+c6af733c90 via fabric-api
	- fabric-command-api-v1 1.2.12+f71b366f90 via fabric-api
	- fabric-command-api-v2 2.1.8+93d8cb8290 via fabric-api
	- fabric-commands-v0 0.2.29+df3654b390 via fabric-api
	- fabric-containers-v0 0.1.35+df3654b390 via fabric-api
	- fabric-content-registries-v0 3.4.0+6064db2a90 via fabric-api
	- fabric-convention-tags-v1 1.1.2+93d8cb8290 via fabric-api
	- fabric-crash-report-info-v1 0.2.6+aeb40ebe90 via fabric-api
	- fabric-data-generation-api-v1 5.2.2+b598f4ac90 via fabric-api
	- fabric-dimensions-v1 2.1.32+0dd10df690 via fabric-api
	- fabric-entity-events-v1 1.4.19+9ff28f4090 via fabric-api
	- fabric-events-interaction-v0 0.4.29+c6af733c90 via fabric-api
	- fabric-events-lifecycle-v0 0.2.29+df3654b390 via fabric-api
	- fabric-game-rule-api-v1 1.0.22+c6af733c90 via fabric-api
	- fabric-item-api-v1 1.5.8+93d8cb8290 via fabric-api
	- fabric-item-groups-v0 0.3.32+70efcffe90 via fabric-api
	- fabric-lifecycle-events-v1 2.2.0+33ffe9ec90 via fabric-api
	- fabric-loot-api-v2 1.1.6+83a8659290 via fabric-api
	- fabric-loot-tables-v1 1.1.9+9e7660c690 via fabric-api
	- fabric-message-api-v1 5.0.4+93d8cb8290 via fabric-api
	- fabric-mining-level-api-v1 2.1.17+33fbc73890 via fabric-api
	- fabric-networking-api-v1 1.2.5+c6af733c90 via fabric-api
	- fabric-networking-v0 0.3.22+df3654b390 via fabric-api
	- fabric-object-builder-api-v1 4.0.14+93d8cb8290 via fabric-api
	- fabric-particles-v1 1.0.11+79adfe0a90 via fabric-api
	- fabric-registry-sync-v0 0.9.26+c6af733c90 via fabric-api
	- fabric-rendering-data-attachment-v1 0.3.15+aeb40ebe90 via fabric-api
	- fabric-rendering-fluids-v1 3.0.8+c6af733c90 via fabric-api
	- fabric-resource-conditions-api-v1 2.1.0+aae9039d90 via fabric-api
	- fabric-resource-loader-v0 0.7.2+70efcffe90 via fabric-api
	- fabric-screen-handler-api-v1 1.3.1+1cc24b1b90 via fabric-api
	- fabric-transfer-api-v1 2.1.1+93d8cb8290 via fabric-api
	- fabric-transitive-access-wideners-v1 1.3.1+42d99c3290 via fabric-api
	- fabricloader 0.14.10
	- java 19
	- minecraft 1.19.2
[09:10:27] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=file:/home/mc-server-fabric-1/libraries/net/fabricmc/sponge-mixin/0.11.4+mixin.0.8.5/sponge-mixin-0.11.4+mixin.0.8.5.jar Service=Knot/Fabric Env=SERVER
[09:10:28] [main/INFO]: Compatibility level set to JAVA_16
[09:10:38] [main/INFO]: Building unoptimized datafixer
[09:10:41] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[09:10:44] [main/INFO]: [fabric-registry-sync] Loaded registry data [file 1/4]
[09:10:46] [main/INFO]: Loaded 7 recipes
[09:10:46] [main/INFO]: Loaded 1179 advancements
[09:10:49] [main/WARN]: Failed to parse level-type bclib:normal, defaulting to minecraft:normal
[09:10:49] [main/INFO]: Applied 0 biome modifications to 0 of 63 new biomes in 7.071 ms
[09:10:49] [Server thread/INFO]: Starting minecraft server version 1.19.2
[09:10:49] [Server thread/INFO]: Loading properties
[09:10:49] [Server thread/INFO]: Default game type: SURVIVAL
[09:10:49] [Server thread/INFO]: Generating keypair
[09:10:49] [Server thread/INFO]: Starting Minecraft server on *:25565
[09:10:50] [Server thread/INFO]: Using epoll channel type
[09:10:50] [Server thread/INFO]: Preparing level "world"
[09:11:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:11:48] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[09:11:48] [Worker-Main-1/INFO]: Preparing spawn area: 53%
[09:11:49] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[09:11:49] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[09:11:50] [Server thread/INFO]: Time elapsed: 59269 ms
[09:11:50] [Server thread/INFO]: Done (59.999s)! For help, type "help"
[09:11:50] [Server thread/INFO]: com.mojang.authlib.GameProfile@2be35994[id=c95eba7a-6d58-4077-b34e-e3b66f09fe6f,name=Belldore,properties={textures=[com.mojang.authlib.properties.Property@f69d731]},legacy=false] (/182.239.136.10:49330) lost connection: Disconnected
[09:11:56] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2543ms or 50 ticks behind
